HARRIS_brief 
Linha     Resultado (Mb) 
8        0.870646153846
9        0.0955846153846
11       0.237630769231
12       1.28866153846
13       0.411092307692
14       0.209946153846
15       0.0
16       0.130930769231
17       0.0
18       0.0303769230769
19       0.0
20       0.0
21       0.0
22       0.0
23       0.0990769230769
24       0.497176923077
26       0.0299846153846
28       0.582
29       2.32
30       2.32
31       0.0
32       0.0140307692308
33       0.0
34       2.32
35       0.0
36       0.0
37       0.0
38       0.0
39       0.004
40       0.0
41       0.008
42       0.00769230769231
44       0.304292307692
