HARRIS_freak 
Tempo_Total:     2.26419223077 s 
Linha    Resultado (Micro-Segundos) 
8        17681.2615385
9        373.646153846
11       4060.09230769
12       75144.8923077
13       13246.0461538
14       12852.2846154
15       5225.27692308
16       12053.6230769
17       89.7769230769
18       21836.4384615
19       60.0076923077
20       3210.55384615
21       7781.25384615
22       2993.87692308
23       1249.47692308
24       846738.038462
26       331.238461538
28       79771.8538462
29       27485.5
30       595706.715385
31       97172.3846154
32       85007.2846154
33       38310.4461538
34       76286.5461538
35       83.7692307692
36       114077.992308
37       60.8384615385
38       13086.2692308
39       32742.6615385
40       12725.3923077
41       4198.3
42       55900.3230769
44       6649.15384615
