HARRIS_freak 
Linha     Resultado (Mb) 
8        0.877253846154
9        0.1255
11       0.237630769231
12       1.28203076923
13       0.4074
14       0.204153846154
15       0.0
16       0.127853846154
17       0.0
18       0.0331230769231
19       0.0
20       0.0
21       0.0
22       0.0
23       0.0364153846154
24       8.44979230769
26       0.0714769230769
28       0.582
29       2.32
30       2.32
31       0.0
32       0.0100769230769
33       0.0
34       2.32
35       0.0
36       0.0
37       0.0
38       0.0
39       0.004
40       0.0
41       0.008
42       0.00769230769231
44       0.328746153846
