HARRIS_sift 
Tempo_Total:     3.82456807692 s 
Linha    Resultado (Micro-Segundos) 
8        17747.8230769
9        340.276923077
11       4049.21538462
12       75368.0307692
13       13337.4153846
14       12846.1923077
15       5170.01538462
16       12053.2769231
17       92.3153846154
18       21919.6846154
19       59.7692307692
20       3188.46923077
21       7786.7
22       3007.62307692
23       1352.54615385
24       234370.092308
26       313.2
28       74387.9
29       22406.4
30       627016.623077
31       96820.2230769
32       84572.7538462
33       36198.8923077
34       76290.9230769
35       85.6384615385
36       113971.0
37       59.1307692308
38       13127.1923077
39       32883.3923077
40       12544.3692308
41       4198.75384615
42       2187252.36923
44       29750.1923077
