HARRIS_sift 
Linha     Resultado (Mb) 
8        0.865269230769
9        0.0980230769231
11       0.239446153846
12       1.2912
13       0.416776923077
14       0.211753846154
15       0.0
16       0.127807692308
17       0.0
18       0.0293769230769
19       0.0
20       0.0
21       0.0
22       0.0
23       0.0977230769231
24       3.92376153846
26       0.0654153846154
28       0.0
29       0.0
30       2.32
31       0.0
32       0.0
33       0.0
34       2.32
35       0.0
36       0.0
37       0.0
38       0.0
39       0.004
40       0.0
41       0.00646153846154
42       0.00830769230769
44       0.269276923077
