HARRIS_brief 
Tempo_Total:     1.43272230769 s 
Linha    Resultado (Micro-Segundos) 
8        17782.9692308
9        330.130769231
11       4077.95384615
12       75064.7307692
13       13386.8461538
14       12945.8846154
15       5247.76923077
16       11922.7769231
17       90.5692307692
18       21762.1769231
19       62.8076923077
20       3235.92307692
21       7839.94615385
22       3050.6
23       1391.41538462
24       9146.58461538
26       236.192307692
28       79411.4
29       27501.1692308
30       600803.161538
31       96811.0846154
32       84915.9769231
33       38268.1615385
34       76245.2307692
35       94.1230769231
36       113981.538462
37       61.8230769231
38       13120.9538462
39       32793.0307692
40       12659.2923077
41       4188.52307692
42       60207.7692308
44       4084.28461538
