HARRIS_brisk 
Tempo_Total:     7.83861615385 s 
Linha    Resultado (Micro-Segundos) 
8        17784.0153846
9        6381860.57692
11       4217.49230769
12       74851.8846154
13       13409.4230769
14       12985.2923077
15       5249.70769231
16       11975.3153846
17       94.6692307692
18       21867.8307692
19       59.6307692308
20       3183.67692308
21       7748.45384615
22       2966.15384615
23       1202.36923077
24       13430.4538462
26       310.546153846
28       80013.7307692
29       27600.2461538
30       602688.684615
31       96909.0846154
32       85010.5
33       38292.9692308
34       76201.1461538
35       86.7076923077
36       113765.776923
37       65.7769230769
38       13025.3076923
39       32619.6769231
40       12438.7153846
41       4247.6
42       75149.1923077
44       7303.84615385
