HARRIS_brisk 
Linha     Resultado (Mb) 
8        0.872023076923
9        45.2597307692
11       0.279423076923
12       1.28550769231
13       0.409853846154
14       0.207938461538
15       0.0
16       0.126130769231
17       0.0
18       0.0309076923077
19       0.0
20       0.0
21       0.0
22       0.0
23       0.0170461538462
24       0.3422
26       0.0710307692308
28       0.582
29       2.32
30       2.32
31       0.0
32       0.0147846153846
33       0.0
34       2.32
35       0.0
36       0.0
37       0.0
38       0.0
39       0.004
40       0.0
41       0.00769230769231
42       0.00769230769231
44       0.267076923077
