HARRIS_orb 
Tempo_Total:     1.51881938462 s 
Linha    Resultado (Micro-Segundos) 
8        17823.8230769
9        314.646153846
11       4108.11538462
12       74676.9692308
13       13442.9230769
14       12796.7076923
15       5261.20769231
16       11938.1461538
17       95.8153846154
18       21742.0153846
19       63.3538461538
20       3219.03076923
21       7810.4
22       2968.18461538
23       1385.43846154
24       15888.8846154
26       223.407692308
28       79520.2153846
29       27517.7538462
30       607442.576923
31       97194.4384615
32       85013.1230769
33       38240.6153846
34       76241.6
35       81.0230769231
36       113947.338462
37       59.6769230769
38       13079.2307692
39       32761.2
40       12408.1230769
41       4239.28461538
42       133485.953846
44       3828.3
