Nome,Tempo(s),Memoria(Mb)
FAST_brief,1.31206065385,3.28050769231
FAST_brisk,8.18217015385,48.2011769231
FAST_freak,2.30908092308,11.2694230769
FAST_orb,0.864734369231,3.06653076923
FAST_sift,17.8279215385,7.48358461538
HARRIS_brief,1.43272230769,11.7811230769
HARRIS_brisk,7.83861615385,56.7450384615
HARRIS_freak,2.26419223077,19.7531461538
HARRIS_orb,1.51881938462,11.4953769231
HARRIS_sift,3.82456807692,12.2946
ORB_brief,0.946591092308,3.66756923077
ORB_brisk,7.38439838462,48.5774153846
ORB_freak,1.53923469231,11.6323
ORB_orb,1.46033292308,3.45990769231
ORB_sift,29.24261,10.4175923077
SHITOMASI_brief,1.23872584615,3.8103
SHITOMASI_brisk,7.62502238462,48.8397307693
SHITOMASI_freak,2.07636938462,11.8478846154
SHITOMASI_orb,1.28629353846,3.53386923077
SHITOMASI_sift,3.55325615385,6.7538
STAR_brief,3.60297515385,3.1354
STAR_brisk,9.95897823077,48.2173230769
STAR_freak,4.417299,11.1710769231
STAR_orb,3.63927438462,3.13158461538
STAR_sift,11.8699861538,6.47656923077
SURF_brief,6.90948376923,3.84047692308
SURF_brisk,13.5620876923,48.8482615385
SURF_freak,7.22141138462,11.8265153846
SURF_orb,6.97844569231,3.94361538461
SURF_sift,109.408713846,10.2948692308
